id,shoe_type,lighting,location,motion,weather,mood
scn_001,sneaker,ánh vàng xiên,đường phố sáng sớm,orbit chậm,sương nhẹ,năng động
scn_002,runner,ánh vàng xiên,đường phố sáng sớm,orbit chậm,sương nhẹ,mạnh mẽ
scn_003,leather,ánh vàng xiên,đường phố sáng sớm,orbit chậm,sương nhẹ,lãng mạn
scn_004,casual,ánh vàng xiên,đường phố sáng sớm,orbit chậm,gió nhẹ,năng động
scn_005,sandals,ánh vàng xiên,đường phố sáng sớm,orbit chậm,gió nhẹ,mạnh mẽ
scn_006,sneaker,ánh vàng xiên,đường phố sáng sớm,orbit chậm,gió nhẹ,lãng mạn
scn_007,runner,ánh vàng xiên,đường phố sáng sớm,orbit chậm,nắng dịu,năng động
scn_008,leather,ánh vàng xiên,đường phố sáng sớm,orbit chậm,nắng dịu,mạnh mẽ
scn_009,casual,ánh vàng xiên,đường phố sáng sớm,orbit chậm,nắng dịu,lãng mạn
scn_010,sandals,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,sương nhẹ,năng động
scn_011,sneaker,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,sương nhẹ,mạnh mẽ
scn_012,runner,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,sương nhẹ,lãng mạn
scn_013,leather,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,gió nhẹ,năng động
scn_014,casual,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,gió nhẹ,mạnh mẽ
scn_015,sandals,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,gió nhẹ,lãng mạn
scn_016,sneaker,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,nắng dịu,năng động
scn_017,runner,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,nắng dịu,mạnh mẽ
scn_018,leather,ánh vàng xiên,đường phố sáng sớm,tracking nhanh,nắng dịu,lãng mạn
scn_019,casual,ánh vàng xiên,đường phố sáng sớm,crane xuống,sương nhẹ,năng động
scn_020,sandals,ánh vàng xiên,đường phố sáng sớm,crane xuống,sương nhẹ,mạnh mẽ
scn_021,sneaker,ánh vàng xiên,đường phố sáng sớm,crane xuống,sương nhẹ,lãng mạn
scn_022,runner,ánh vàng xiên,đường phố sáng sớm,crane xuống,gió nhẹ,năng động
scn_023,leather,ánh vàng xiên,đường phố sáng sớm,crane xuống,gió nhẹ,mạnh mẽ
scn_024,casual,ánh vàng xiên,đường phố sáng sớm,crane xuống,gió nhẹ,lãng mạn
scn_025,sandals,ánh vàng xiên,đường phố sáng sớm,crane xuống,nắng dịu,năng động
scn_026,sneaker,ánh vàng xiên,đường phố sáng sớm,crane xuống,nắng dịu,mạnh mẽ
scn_027,runner,ánh vàng xiên,đường phố sáng sớm,crane xuống,nắng dịu,lãng mạn
scn_028,leather,ánh vàng xiên,đường phố sáng sớm,pan ngang,sương nhẹ,năng động
scn_029,casual,ánh vàng xiên,đường phố sáng sớm,pan ngang,sương nhẹ,mạnh mẽ
scn_030,sandals,ánh vàng xiên,đường phố sáng sớm,pan ngang,sương nhẹ,lãng mạn
scn_031,sneaker,ánh vàng xiên,đường phố sáng sớm,pan ngang,gió nhẹ,năng động
scn_032,runner,ánh vàng xiên,đường phố sáng sớm,pan ngang,gió nhẹ,mạnh mẽ
scn_033,leather,ánh vàng xiên,đường phố sáng sớm,pan ngang,gió nhẹ,lãng mạn
scn_034,casual,ánh vàng xiên,đường phố sáng sớm,pan ngang,nắng dịu,năng động
scn_035,sandals,ánh vàng xiên,đường phố sáng sớm,pan ngang,nắng dịu,mạnh mẽ
scn_036,sneaker,ánh vàng xiên,đường phố sáng sớm,pan ngang,nắng dịu,lãng mạn
scn_037,runner,ánh vàng xiên,đường phố sáng sớm,wide dolly,sương nhẹ,năng động
scn_038,leather,ánh vàng xiên,đường phố sáng sớm,wide dolly,sương nhẹ,mạnh mẽ
scn_039,casual,ánh vàng xiên,đường phố sáng sớm,wide dolly,sương nhẹ,lãng mạn
scn_040,sandals,ánh vàng xiên,đường phố sáng sớm,wide dolly,gió nhẹ,năng động
scn_041,sneaker,ánh vàng xiên,đường phố sáng sớm,wide dolly,gió nhẹ,mạnh mẽ
scn_042,runner,ánh vàng xiên,đường phố sáng sớm,wide dolly,gió nhẹ,lãng mạn
scn_043,leather,ánh vàng xiên,đường phố sáng sớm,wide dolly,nắng dịu,năng động
scn_044,casual,ánh vàng xiên,đường phố sáng sớm,wide dolly,nắng dịu,mạnh mẽ
scn_045,sandals,ánh vàng xiên,đường phố sáng sớm,wide dolly,nắng dịu,lãng mạn
scn_046,sneaker,ánh vàng xiên,sân tập,orbit chậm,sương nhẹ,năng động
scn_047,runner,ánh vàng xiên,sân tập,orbit chậm,sương nhẹ,mạnh mẽ
scn_048,leather,ánh vàng xiên,sân tập,orbit chậm,sương nhẹ,lãng mạn
scn_049,casual,ánh vàng xiên,sân tập,orbit chậm,gió nhẹ,năng động
scn_050,sandals,ánh vàng xiên,sân tập,orbit chậm,gió nhẹ,mạnh mẽ
scn_051,sneaker,ánh vàng xiên,sân tập,orbit chậm,gió nhẹ,lãng mạn
scn_052,runner,ánh vàng xiên,sân tập,orbit chậm,nắng dịu,năng động
scn_053,leather,ánh vàng xiên,sân tập,orbit chậm,nắng dịu,mạnh mẽ
scn_054,casual,ánh vàng xiên,sân tập,orbit chậm,nắng dịu,lãng mạn
scn_055,sandals,ánh vàng xiên,sân tập,tracking nhanh,sương nhẹ,năng động
scn_056,sneaker,ánh vàng xiên,sân tập,tracking nhanh,sương nhẹ,mạnh mẽ
scn_057,runner,ánh vàng xiên,sân tập,tracking nhanh,sương nhẹ,lãng mạn
scn_058,leather,ánh vàng xiên,sân tập,tracking nhanh,gió nhẹ,năng động
scn_059,casual,ánh vàng xiên,sân tập,tracking nhanh,gió nhẹ,mạnh mẽ
scn_060,sandals,ánh vàng xiên,sân tập,tracking nhanh,gió nhẹ,lãng mạn
scn_061,sneaker,ánh vàng xiên,sân tập,tracking nhanh,nắng dịu,năng động
scn_062,runner,ánh vàng xiên,sân tập,tracking nhanh,nắng dịu,mạnh mẽ
scn_063,leather,ánh vàng xiên,sân tập,tracking nhanh,nắng dịu,lãng mạn
scn_064,casual,ánh vàng xiên,sân tập,crane xuống,sương nhẹ,năng động
scn_065,sandals,ánh vàng xiên,sân tập,crane xuống,sương nhẹ,mạnh mẽ
scn_066,sneaker,ánh vàng xiên,sân tập,crane xuống,sương nhẹ,lãng mạn
scn_067,runner,ánh vàng xiên,sân tập,crane xuống,gió nhẹ,năng động
scn_068,leather,ánh vàng xiên,sân tập,crane xuống,gió nhẹ,mạnh mẽ
scn_069,casual,ánh vàng xiên,sân tập,crane xuống,gió nhẹ,lãng mạn
scn_070,sandals,ánh vàng xiên,sân tập,crane xuống,nắng dịu,năng động
scn_071,sneaker,ánh vàng xiên,sân tập,crane xuống,nắng dịu,mạnh mẽ
scn_072,runner,ánh vàng xiên,sân tập,crane xuống,nắng dịu,lãng mạn
scn_073,leather,ánh vàng xiên,sân tập,pan ngang,sương nhẹ,năng động
scn_074,casual,ánh vàng xiên,sân tập,pan ngang,sương nhẹ,mạnh mẽ
scn_075,sandals,ánh vàng xiên,sân tập,pan ngang,sương nhẹ,lãng mạn
scn_076,sneaker,ánh vàng xiên,sân tập,pan ngang,gió nhẹ,năng động
scn_077,runner,ánh vàng xiên,sân tập,pan ngang,gió nhẹ,mạnh mẽ
scn_078,leather,ánh vàng xiên,sân tập,pan ngang,gió nhẹ,lãng mạn
scn_079,casual,ánh vàng xiên,sân tập,pan ngang,nắng dịu,năng động
scn_080,sandals,ánh vàng xiên,sân tập,pan ngang,nắng dịu,mạnh mẽ
scn_081,sneaker,ánh vàng xiên,sân tập,pan ngang,nắng dịu,lãng mạn
scn_082,runner,ánh vàng xiên,sân tập,wide dolly,sương nhẹ,năng động
scn_083,leather,ánh vàng xiên,sân tập,wide dolly,sương nhẹ,mạnh mẽ
scn_084,casual,ánh vàng xiên,sân tập,wide dolly,sương nhẹ,lãng mạn
scn_085,sandals,ánh vàng xiên,sân tập,wide dolly,gió nhẹ,năng động
scn_086,sneaker,ánh vàng xiên,sân tập,wide dolly,gió nhẹ,mạnh mẽ
scn_087,runner,ánh vàng xiên,sân tập,wide dolly,gió nhẹ,lãng mạn
scn_088,leather,ánh vàng xiên,sân tập,wide dolly,nắng dịu,năng động
scn_089,casual,ánh vàng xiên,sân tập,wide dolly,nắng dịu,mạnh mẽ
scn_090,sandals,ánh vàng xiên,sân tập,wide dolly,nắng dịu,lãng mạn
scn_091,sneaker,ánh vàng xiên,studio phản sáng,orbit chậm,sương nhẹ,năng động
scn_092,runner,ánh vàng xiên,studio phản sáng,orbit chậm,sương nhẹ,mạnh mẽ
scn_093,leather,ánh vàng xiên,studio phản sáng,orbit chậm,sương nhẹ,lãng mạn
scn_094,casual,ánh vàng xiên,studio phản sáng,orbit chậm,gió nhẹ,năng động
scn_095,sandals,ánh vàng xiên,studio phản sáng,orbit chậm,gió nhẹ,mạnh mẽ
scn_096,sneaker,ánh vàng xiên,studio phản sáng,orbit chậm,gió nhẹ,lãng mạn
scn_097,runner,ánh vàng xiên,studio phản sáng,orbit chậm,nắng dịu,năng động
scn_098,leather,ánh vàng xiên,studio phản sáng,orbit chậm,nắng dịu,mạnh mẽ
scn_099,casual,ánh vàng xiên,studio phản sáng,orbit chậm,nắng dịu,lãng mạn
scn_100,sandals,ánh vàng xiên,studio phản sáng,tracking nhanh,sương nhẹ,năng động
scn_101,sneaker,ánh vàng xiên,studio phản sáng,tracking nhanh,sương nhẹ,mạnh mẽ
scn_102,runner,ánh vàng xiên,studio phản sáng,tracking nhanh,sương nhẹ,lãng mạn
scn_103,leather,ánh vàng xiên,studio phản sáng,tracking nhanh,gió nhẹ,năng động
scn_104,casual,ánh vàng xiên,studio phản sáng,tracking nhanh,gió nhẹ,mạnh mẽ
scn_105,sandals,ánh vàng xiên,studio phản sáng,tracking nhanh,gió nhẹ,lãng mạn
scn_106,sneaker,ánh vàng xiên,studio phản sáng,tracking nhanh,nắng dịu,năng động
scn_107,runner,ánh vàng xiên,studio phản sáng,tracking nhanh,nắng dịu,mạnh mẽ
scn_108,leather,ánh vàng xiên,studio phản sáng,tracking nhanh,nắng dịu,lãng mạn
scn_109,casual,ánh vàng xiên,studio phản sáng,crane xuống,sương nhẹ,năng động
scn_110,sandals,ánh vàng xiên,studio phản sáng,crane xuống,sương nhẹ,mạnh mẽ
scn_111,sneaker,ánh vàng xiên,studio phản sáng,crane xuống,sương nhẹ,lãng mạn
scn_112,runner,ánh vàng xiên,studio phản sáng,crane xuống,gió nhẹ,năng động
scn_113,leather,ánh vàng xiên,studio phản sáng,crane xuống,gió nhẹ,mạnh mẽ
scn_114,casual,ánh vàng xiên,studio phản sáng,crane xuống,gió nhẹ,lãng mạn
scn_115,sandals,ánh vàng xiên,studio phản sáng,crane xuống,nắng dịu,năng động
scn_116,sneaker,ánh vàng xiên,studio phản sáng,crane xuống,nắng dịu,mạnh mẽ
scn_117,runner,ánh vàng xiên,studio phản sáng,crane xuống,nắng dịu,lãng mạn
scn_118,leather,ánh vàng xiên,studio phản sáng,pan ngang,sương nhẹ,năng động
scn_119,casual,ánh vàng xiên,studio phản sáng,pan ngang,sương nhẹ,mạnh mẽ
scn_120,sandals,ánh vàng xiên,studio phản sáng,pan ngang,sương nhẹ,lãng mạn
scn_121,sneaker,ánh vàng xiên,studio phản sáng,pan ngang,gió nhẹ,năng động
scn_122,runner,ánh vàng xiên,studio phản sáng,pan ngang,gió nhẹ,mạnh mẽ
scn_123,leather,ánh vàng xiên,studio phản sáng,pan ngang,gió nhẹ,lãng mạn
scn_124,casual,ánh vàng xiên,studio phản sáng,pan ngang,nắng dịu,năng động
scn_125,sandals,ánh vàng xiên,studio phản sáng,pan ngang,nắng dịu,mạnh mẽ
scn_126,sneaker,ánh vàng xiên,studio phản sáng,pan ngang,nắng dịu,lãng mạn
scn_127,runner,ánh vàng xiên,studio phản sáng,wide dolly,sương nhẹ,năng động
scn_128,leather,ánh vàng xiên,studio phản sáng,wide dolly,sương nhẹ,mạnh mẽ
scn_129,casual,ánh vàng xiên,studio phản sáng,wide dolly,sương nhẹ,lãng mạn
scn_130,sandals,ánh vàng xiên,studio phản sáng,wide dolly,gió nhẹ,năng động
scn_131,sneaker,ánh vàng xiên,studio phản sáng,wide dolly,gió nhẹ,mạnh mẽ
scn_132,runner,ánh vàng xiên,studio phản sáng,wide dolly,gió nhẹ,lãng mạn
scn_133,leather,ánh vàng xiên,studio phản sáng,wide dolly,nắng dịu,năng động
scn_134,casual,ánh vàng xiên,studio phản sáng,wide dolly,nắng dịu,mạnh mẽ
scn_135,sandals,ánh vàng xiên,studio phản sáng,wide dolly,nắng dịu,lãng mạn
scn_136,sneaker,ánh vàng xiên,công viên chiều,orbit chậm,sương nhẹ,năng động
scn_137,runner,ánh vàng xiên,công viên chiều,orbit chậm,sương nhẹ,mạnh mẽ
scn_138,leather,ánh vàng xiên,công viên chiều,orbit chậm,sương nhẹ,lãng mạn
scn_139,casual,ánh vàng xiên,công viên chiều,orbit chậm,gió nhẹ,năng động
scn_140,sandals,ánh vàng xiên,công viên chiều,orbit chậm,gió nhẹ,mạnh mẽ
scn_141,sneaker,ánh vàng xiên,công viên chiều,orbit chậm,gió nhẹ,lãng mạn
scn_142,runner,ánh vàng xiên,công viên chiều,orbit chậm,nắng dịu,năng động
scn_143,leather,ánh vàng xiên,công viên chiều,orbit chậm,nắng dịu,mạnh mẽ
scn_144,casual,ánh vàng xiên,công viên chiều,orbit chậm,nắng dịu,lãng mạn
scn_145,sandals,ánh vàng xiên,công viên chiều,tracking nhanh,sương nhẹ,năng động
scn_146,sneaker,ánh vàng xiên,công viên chiều,tracking nhanh,sương nhẹ,mạnh mẽ
scn_147,runner,ánh vàng xiên,công viên chiều,tracking nhanh,sương nhẹ,lãng mạn
scn_148,leather,ánh vàng xiên,công viên chiều,tracking nhanh,gió nhẹ,năng động
scn_149,casual,ánh vàng xiên,công viên chiều,tracking nhanh,gió nhẹ,mạnh mẽ
scn_150,sandals,ánh vàng xiên,công viên chiều,tracking nhanh,gió nhẹ,lãng mạn
scn_151,sneaker,ánh vàng xiên,công viên chiều,tracking nhanh,nắng dịu,năng động
scn_152,runner,ánh vàng xiên,công viên chiều,tracking nhanh,nắng dịu,mạnh mẽ
scn_153,leather,ánh vàng xiên,công viên chiều,tracking nhanh,nắng dịu,lãng mạn
scn_154,casual,ánh vàng xiên,công viên chiều,crane xuống,sương nhẹ,năng động
scn_155,sandals,ánh vàng xiên,công viên chiều,crane xuống,sương nhẹ,mạnh mẽ
scn_156,sneaker,ánh vàng xiên,công viên chiều,crane xuống,sương nhẹ,lãng mạn
scn_157,runner,ánh vàng xiên,công viên chiều,crane xuống,gió nhẹ,năng động
scn_158,leather,ánh vàng xiên,công viên chiều,crane xuống,gió nhẹ,mạnh mẽ
scn_159,casual,ánh vàng xiên,công viên chiều,crane xuống,gió nhẹ,lãng mạn
scn_160,sandals,ánh vàng xiên,công viên chiều,crane xuống,nắng dịu,năng động
scn_161,sneaker,ánh vàng xiên,công viên chiều,crane xuống,nắng dịu,mạnh mẽ
scn_162,runner,ánh vàng xiên,công viên chiều,crane xuống,nắng dịu,lãng mạn
scn_163,leather,ánh vàng xiên,công viên chiều,pan ngang,sương nhẹ,năng động
scn_164,casual,ánh vàng xiên,công viên chiều,pan ngang,sương nhẹ,mạnh mẽ
scn_165,sandals,ánh vàng xiên,công viên chiều,pan ngang,sương nhẹ,lãng mạn
scn_166,sneaker,ánh vàng xiên,công viên chiều,pan ngang,gió nhẹ,năng động
scn_167,runner,ánh vàng xiên,công viên chiều,pan ngang,gió nhẹ,mạnh mẽ
scn_168,leather,ánh vàng xiên,công viên chiều,pan ngang,gió nhẹ,lãng mạn
scn_169,casual,ánh vàng xiên,công viên chiều,pan ngang,nắng dịu,năng động
scn_170,sandals,ánh vàng xiên,công viên chiều,pan ngang,nắng dịu,mạnh mẽ
scn_171,sneaker,ánh vàng xiên,công viên chiều,pan ngang,nắng dịu,lãng mạn
scn_172,runner,ánh vàng xiên,công viên chiều,wide dolly,sương nhẹ,năng động
scn_173,leather,ánh vàng xiên,công viên chiều,wide dolly,sương nhẹ,mạnh mẽ
scn_174,casual,ánh vàng xiên,công viên chiều,wide dolly,sương nhẹ,lãng mạn
scn_175,sandals,ánh vàng xiên,công viên chiều,wide dolly,gió nhẹ,năng động
scn_176,sneaker,ánh vàng xiên,công viên chiều,wide dolly,gió nhẹ,mạnh mẽ
scn_177,runner,ánh vàng xiên,công viên chiều,wide dolly,gió nhẹ,lãng mạn
scn_178,leather,ánh vàng xiên,công viên chiều,wide dolly,nắng dịu,năng động
scn_179,casual,ánh vàng xiên,công viên chiều,wide dolly,nắng dịu,mạnh mẽ
scn_180,sandals,ánh vàng xiên,công viên chiều,wide dolly,nắng dịu,lãng mạn
scn_181,sneaker,ánh vàng xiên,bãi biển chiều,orbit chậm,sương nhẹ,năng động
scn_182,runner,ánh vàng xiên,bãi biển chiều,orbit chậm,sương nhẹ,mạnh mẽ
scn_183,leather,ánh vàng xiên,bãi biển chiều,orbit chậm,sương nhẹ,lãng mạn
scn_184,casual,ánh vàng xiên,bãi biển chiều,orbit chậm,gió nhẹ,năng động
scn_185,sandals,ánh vàng xiên,bãi biển chiều,orbit chậm,gió nhẹ,mạnh mẽ
scn_186,sneaker,ánh vàng xiên,bãi biển chiều,orbit chậm,gió nhẹ,lãng mạn
scn_187,runner,ánh vàng xiên,bãi biển chiều,orbit chậm,nắng dịu,năng động
scn_188,leather,ánh vàng xiên,bãi biển chiều,orbit chậm,nắng dịu,mạnh mẽ
scn_189,casual,ánh vàng xiên,bãi biển chiều,orbit chậm,nắng dịu,lãng mạn
scn_190,sandals,ánh vàng xiên,bãi biển chiều,tracking nhanh,sương nhẹ,năng động
scn_191,sneaker,ánh vàng xiên,bãi biển chiều,tracking nhanh,sương nhẹ,mạnh mẽ
scn_192,runner,ánh vàng xiên,bãi biển chiều,tracking nhanh,sương nhẹ,lãng mạn
scn_193,leather,ánh vàng xiên,bãi biển chiều,tracking nhanh,gió nhẹ,năng động
scn_194,casual,ánh vàng xiên,bãi biển chiều,tracking nhanh,gió nhẹ,mạnh mẽ
scn_195,sandals,ánh vàng xiên,bãi biển chiều,tracking nhanh,gió nhẹ,lãng mạn
scn_196,sneaker,ánh vàng xiên,bãi biển chiều,tracking nhanh,nắng dịu,năng động
scn_197,runner,ánh vàng xiên,bãi biển chiều,tracking nhanh,nắng dịu,mạnh mẽ
scn_198,leather,ánh vàng xiên,bãi biển chiều,tracking nhanh,nắng dịu,lãng mạn
scn_199,casual,ánh vàng xiên,bãi biển chiều,crane xuống,sương nhẹ,năng động
scn_200,sandals,ánh vàng xiên,bãi biển chiều,crane xuống,sương nhẹ,mạnh mẽ
scn_201,sneaker,ánh vàng xiên,bãi biển chiều,crane xuống,sương nhẹ,lãng mạn
scn_202,runner,ánh vàng xiên,bãi biển chiều,crane xuống,gió nhẹ,năng động
scn_203,leather,ánh vàng xiên,bãi biển chiều,crane xuống,gió nhẹ,mạnh mẽ
scn_204,casual,ánh vàng xiên,bãi biển chiều,crane xuống,gió nhẹ,lãng mạn
scn_205,sandals,ánh vàng xiên,bãi biển chiều,crane xuống,nắng dịu,năng động
scn_206,sneaker,ánh vàng xiên,bãi biển chiều,crane xuống,nắng dịu,mạnh mẽ
scn_207,runner,ánh vàng xiên,bãi biển chiều,crane xuống,nắng dịu,lãng mạn
scn_208,leather,ánh vàng xiên,bãi biển chiều,pan ngang,sương nhẹ,năng động
scn_209,casual,ánh vàng xiên,bãi biển chiều,pan ngang,sương nhẹ,mạnh mẽ
scn_210,sandals,ánh vàng xiên,bãi biển chiều,pan ngang,sương nhẹ,lãng mạn
scn_211,sneaker,ánh vàng xiên,bãi biển chiều,pan ngang,gió nhẹ,năng động
scn_212,runner,ánh vàng xiên,bãi biển chiều,pan ngang,gió nhẹ,mạnh mẽ
scn_213,leather,ánh vàng xiên,bãi biển chiều,pan ngang,gió nhẹ,lãng mạn
scn_214,casual,ánh vàng xiên,bãi biển chiều,pan ngang,nắng dịu,năng động
scn_215,sandals,ánh vàng xiên,bãi biển chiều,pan ngang,nắng dịu,mạnh mẽ
